--- Dataset ---

dataset_neighbourhood_sample=0.01
dataset_neighbourhood_min_nodes=8
dataset_max_distance=500

--- Model ---

gnnuf_model_v0-4

GAE(
  (encoder): VanillaGCNEncoder(
    (en_conv1): GCNConv(1, 64)
    (en_conv2): GCNConv(64, 64)
    (en_linear_out): Linear(in_features=64, out_features=2, bias=True)
  )
  (decoder): InnerProductDecoder()
)

--- Training ---

Epoch 1, average loss over 276 batches: 1.3799119980438896
Epoch 2, average loss over 276 batches: 1.3670198610727338
Epoch 3, average loss over 276 batches: 1.3617429944916049
Epoch 4, average loss over 276 batches: 1.360811966916789
Epoch 5, average loss over 276 batches: 1.3599509341993195
Epoch 6, average loss over 276 batches: 1.3593988608622896
Epoch 7, average loss over 276 batches: 1.3586081577383953
Epoch 8, average loss over 276 batches: 1.3581756552060444
Epoch 9, average loss over 276 batches: 1.3573408040447512
Epoch 10, average loss over 276 batches: 1.3567891583062601
Epoch 11, average loss over 276 batches: 1.3559468328088955
Epoch 12, average loss over 276 batches: 1.354878789272861
Epoch 13, average loss over 276 batches: 1.3544111709663833
Epoch 14, average loss over 276 batches: 1.3538543655388597
Epoch 15, average loss over 276 batches: 1.3529390904350558
Epoch 16, average loss over 276 batches: 1.3520802423573923
Epoch 17, average loss over 276 batches: 1.3509873393653096
Epoch 18, average loss over 276 batches: 1.350300335365793
Epoch 19, average loss over 276 batches: 1.3496686531149822
Epoch 20, average loss over 276 batches: 1.348844802034074
Epoch 21, average loss over 276 batches: 1.3479616270549055
Epoch 22, average loss over 276 batches: 1.3469678604084512
Epoch 23, average loss over 276 batches: 1.3468612890312637
Epoch 24, average loss over 276 batches: 1.3461605811464614
Epoch 25, average loss over 276 batches: 1.3450022141138713
Epoch 26, average loss over 276 batches: 1.3445474583169688
Epoch 27, average loss over 276 batches: 1.3435890881911567
Epoch 28, average loss over 276 batches: 1.3419049982575402
Epoch 29, average loss over 276 batches: 1.3396274853443755
Epoch 30, average loss over 276 batches: 1.3373960187469704
Epoch 31, average loss over 276 batches: 1.3354072410991227
Epoch 32, average loss over 276 batches: 1.3346121358698693
Epoch 33, average loss over 276 batches: 1.3338807570761528
Epoch 34, average loss over 276 batches: 1.3328549563884735
Epoch 35, average loss over 276 batches: 1.3318337582159734
Epoch 36, average loss over 276 batches: 1.3312584308610447
Epoch 37, average loss over 276 batches: 1.3302077741726586
Epoch 38, average loss over 276 batches: 1.3299008080924766
Epoch 39, average loss over 276 batches: 1.3292659728423408
Epoch 40, average loss over 276 batches: 1.3285289160583331
Epoch 41, average loss over 276 batches: 1.3286576487015986
Epoch 42, average loss over 276 batches: 1.3280473900014076
Epoch 43, average loss over 276 batches: 1.3278796154519785
Epoch 44, average loss over 276 batches: 1.3274596618569416
Epoch 45, average loss over 276 batches: 1.3270675514055335
Epoch 46, average loss over 276 batches: 1.3275403851184293
Epoch 47, average loss over 276 batches: 1.326568580623986
Epoch 48, average loss over 276 batches: 1.3262418461018715
Epoch 49, average loss over 276 batches: 1.3266113439331884
Epoch 50, average loss over 276 batches: 1.3252139748006626
Epoch 51, average loss over 276 batches: 1.3256457020407137
Epoch 52, average loss over 276 batches: 1.3260032854218413
Epoch 53, average loss over 276 batches: 1.3253782473612523
Epoch 54, average loss over 276 batches: 1.325420990370322
Epoch 55, average loss over 276 batches: 1.3246362883111704
Epoch 56, average loss over 276 batches: 1.3249413107616315
Epoch 57, average loss over 276 batches: 1.3249578342057657
Epoch 58, average loss over 276 batches: 1.3249319398748702
Epoch 59, average loss over 276 batches: 1.3246529897054036
Epoch 60, average loss over 276 batches: 1.3243533644987189
Epoch 61, average loss over 276 batches: 1.3243142409601074
Epoch 62, average loss over 276 batches: 1.3238820908726125
Epoch 63, average loss over 276 batches: 1.3244571189085643
Epoch 64, average loss over 276 batches: 1.3237335332061932
Epoch 65, average loss over 276 batches: 1.3239631467107413
Epoch 66, average loss over 276 batches: 1.323237718447395
Epoch 67, average loss over 276 batches: 1.3233305367006771
Epoch 68, average loss over 276 batches: 1.3233474121577498
Epoch 69, average loss over 276 batches: 1.3231813972410948
Epoch 70, average loss over 276 batches: 1.3229387506194736
Epoch 71, average loss over 276 batches: 1.3227962985418844
Epoch 72, average loss over 276 batches: 1.3223890619001526
Epoch 73, average loss over 276 batches: 1.3227011276328045
Epoch 74, average loss over 276 batches: 1.3222985142383024
Epoch 75, average loss over 276 batches: 1.3223993618419205
Epoch 76, average loss over 276 batches: 1.3218045169892518
Epoch 77, average loss over 276 batches: 1.3223508043565613
Epoch 78, average loss over 276 batches: 1.3219191937342933
Epoch 79, average loss over 276 batches: 1.3219891350338424
Epoch 80, average loss over 276 batches: 1.3220512197501417
Epoch 81, average loss over 276 batches: 1.3218755752280138
Epoch 82, average loss over 276 batches: 1.3213341456392538
Epoch 83, average loss over 276 batches: 1.321219561756521
Epoch 84, average loss over 276 batches: 1.3208424785862798
Epoch 85, average loss over 276 batches: 1.3212920336619667
Epoch 86, average loss over 276 batches: 1.3211771858775097
Epoch 87, average loss over 276 batches: 1.3213765267012776
Epoch 88, average loss over 276 batches: 1.3209289454895516
Epoch 89, average loss over 276 batches: 1.3207214798616327
Epoch 90, average loss over 276 batches: 1.3205464788969012
Epoch 91, average loss over 276 batches: 1.319829265276591
Epoch 92, average loss over 276 batches: 1.3198557521985925
Epoch 93, average loss over 276 batches: 1.319796366536099
Epoch 94, average loss over 276 batches: 1.3192550781844319
Epoch 95, average loss over 276 batches: 1.3192250197348387
Epoch 96, average loss over 276 batches: 1.3196558611116547
Epoch 97, average loss over 276 batches: 1.3192986094433328
Epoch 98, average loss over 276 batches: 1.319036324818929
Epoch 99, average loss over 276 batches: 1.3193267013715662
Epoch 100, average loss over 276 batches: 1.319031325371369
Epoch 101, average loss over 276 batches: 1.3191893251909725
Epoch 102, average loss over 276 batches: 1.3184261365213257
Epoch 103, average loss over 276 batches: 1.3186240088248598
Epoch 104, average loss over 276 batches: 1.3182315774585889
Epoch 105, average loss over 276 batches: 1.3180499569229458
Epoch 106, average loss over 276 batches: 1.317439977241599
Epoch 107, average loss over 276 batches: 1.3177174593227496
Epoch 108, average loss over 276 batches: 1.317204878382061
Epoch 109, average loss over 276 batches: 1.3173696787460991
Epoch 110, average loss over 276 batches: 1.3174758812655574
Epoch 111, average loss over 276 batches: 1.316198854342751
Epoch 112, average loss over 276 batches: 1.316680066395497
Epoch 113, average loss over 276 batches: 1.3160937843115434
Epoch 114, average loss over 276 batches: 1.3165893347366997
Epoch 115, average loss over 276 batches: 1.315993511590405
Epoch 116, average loss over 276 batches: 1.3164307894050211
Epoch 117, average loss over 276 batches: 1.316136123045631
Epoch 118, average loss over 276 batches: 1.3159818614738574
Epoch 119, average loss over 276 batches: 1.315888616485872
Epoch 120, average loss over 276 batches: 1.3154864164366238
Epoch 121, average loss over 276 batches: 1.3158165760662244
Epoch 122, average loss over 276 batches: 1.3155804781810096
Epoch 123, average loss over 276 batches: 1.3157514718131742
Epoch 124, average loss over 276 batches: 1.314851844224377
Epoch 125, average loss over 276 batches: 1.3150499501953954
Epoch 126, average loss over 276 batches: 1.314215934794882
Epoch 127, average loss over 276 batches: 1.3145989512187848
Epoch 128, average loss over 276 batches: 1.314256209826124
Epoch 129, average loss over 276 batches: 1.3146797142167022
Epoch 130, average loss over 276 batches: 1.3146244887856469
Epoch 131, average loss over 276 batches: 1.3143175119075223
Epoch 132, average loss over 276 batches: 1.3134460725646089
Epoch 133, average loss over 276 batches: 1.3137620246928672
Epoch 134, average loss over 276 batches: 1.3141383351623148
Epoch 135, average loss over 276 batches: 1.313260260267534
Epoch 136, average loss over 276 batches: 1.3137995872808539
Epoch 137, average loss over 276 batches: 1.3134935489599255
Epoch 138, average loss over 276 batches: 1.3136330950951232
Epoch 139, average loss over 276 batches: 1.3129084213920261
Epoch 140, average loss over 276 batches: 1.3132104113482046
Epoch 141, average loss over 276 batches: 1.3128856256388235
Epoch 142, average loss over 276 batches: 1.3132603142572485
Epoch 143, average loss over 276 batches: 1.3128239914127018
Epoch 144, average loss over 276 batches: 1.3129776893318563
Epoch 145, average loss over 276 batches: 1.3124110189037046
Epoch 146, average loss over 276 batches: 1.3118952517060265
Epoch 147, average loss over 276 batches: 1.3121416322563006
Epoch 148, average loss over 276 batches: 1.3120995816113292
Epoch 149, average loss over 276 batches: 1.3118374948052391
Epoch 150, average loss over 276 batches: 1.3124260047207708
Epoch 151, average loss over 276 batches: 1.311419214459433
Epoch 152, average loss over 276 batches: 1.311434803665548
Epoch 153, average loss over 276 batches: 1.3116442487723585
Epoch 154, average loss over 276 batches: 1.311320367930592
Epoch 155, average loss over 276 batches: 1.3113396172074303
Epoch 156, average loss over 276 batches: 1.3112843485846035
Epoch 157, average loss over 276 batches: 1.3120183841041897
Epoch 158, average loss over 276 batches: 1.3111526888349783
Epoch 159, average loss over 276 batches: 1.3109509763510332
Epoch 160, average loss over 276 batches: 1.3109173791995947
Epoch 161, average loss over 276 batches: 1.3105110154635664
Epoch 162, average loss over 276 batches: 1.3104922244514243
Epoch 163, average loss over 276 batches: 1.310376909331999
Epoch 164, average loss over 276 batches: 1.31006101594455
Epoch 165, average loss over 276 batches: 1.3099340537320012
Epoch 166, average loss over 276 batches: 1.3098946529022162
Epoch 167, average loss over 276 batches: 1.3095434960247814
Epoch 168, average loss over 276 batches: 1.3097997100456902
Epoch 169, average loss over 276 batches: 1.3100248812765316
Epoch 170, average loss over 276 batches: 1.3095663578613945
Epoch 171, average loss over 276 batches: 1.3093890249729156
Epoch 172, average loss over 276 batches: 1.3098427160926487
Epoch 173, average loss over 276 batches: 1.3088639952998231
Epoch 174, average loss over 276 batches: 1.309535790612732
Epoch 175, average loss over 276 batches: 1.3094278379626896
Epoch 176, average loss over 276 batches: 1.3091733935086622
Epoch 177, average loss over 276 batches: 1.3088208847287772
