0,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_id
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,11.0,11.0,2.0,1261.861,114.71463636363637,3.0,"{0: 0, 1: 0, 2: 0, 3: 11}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",11.0,1261.861,11.0,114.71463636363637,1.0383429424181483,0.0,337976.0
,13.0,13.0,2.0,2126.471,163.57469230769232,3.0,"{0: 0, 1: 0, 2: 0, 3: 13}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",13.0,2126.471,13.0,163.57469230769232,1.0309878075715362,0.0,337979.0
,14.0,14.0,2.0,1870.996,133.64257142857144,3.0,"{0: 0, 1: 0, 2: 0, 3: 14}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",14.0,1870.996,14.0,133.64257142857144,1.0486299847025424,0.0,337983.0
,14.0,14.0,2.0,1815.929,129.7092142857143,3.0,"{0: 0, 1: 0, 2: 0, 3: 14}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",14.0,1815.929,14.0,129.7092142857143,1.0501921613843817,0.0,337985.0
,14.0,14.0,2.0,1870.996,133.64257142857144,3.0,"{0: 0, 1: 0, 2: 0, 3: 14}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",14.0,1870.996,14.0,133.64257142857144,1.0486299847025424,0.0,337986.0
,12.0,12.0,2.0,1431.3880000000001,119.28233333333334,3.0,"{0: 0, 1: 0, 2: 0, 3: 12}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",12.0,1431.3880000000001,12.0,119.28233333333334,1.0336501752094605,0.0,337992.0
,12.0,12.0,2.0,1603.592,133.63266666666667,3.0,"{0: 0, 1: 0, 2: 0, 3: 12}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",12.0,1599.6839999999997,11.0,145.42581818181816,1.1384333108505709,0.0,506077.0
,,,,,,,,,,,,,,,
,19.0,26.0,2.736842105263158,1402.7279999999996,53.95107692307691,2.8947368421052633,"{0: 0, 1: 1, 2: 0, 3: 18}","{0: 0.0, 1: 0.05263157894736842, 2: 0.0, 3: 0.9473684210526315}",18.0,1166.2099999999998,22.0,53.009545454545446,1.0544412962953489,0.0,506085.0
,25.0,35.0,2.8,2365.545,67.587,2.76,"{0: 0, 1: 3, 2: 0, 3: 22}","{0: 0.0, 1: 0.12, 2: 0.0, 3: 0.88}",22.0,2016.2179999999996,28.0,72.0077857142857,1.0578684903912887,0.0,506087.0
,29.0,42.0,2.896551724137931,3780.381,90.00907142857143,2.7241379310344827,"{0: 0, 1: 4, 2: 0, 3: 25}","{0: 0.0, 1: 0.13793103448275862, 2: 0.0, 3: 0.8620689655172413}",25.0,3281.948000000001,34.0,96.5278823529412,1.0747352428941022,0.0,506090.0
