osmnx_node_id,EMB000,EMB001
337976,0.18732761,-0.46725175
337979,0.15047061,-0.5467027
337983,0.12324421,-0.58098805
337985,0.21923697,-0.5756196
337986,0.12324421,-0.58098805
337992,0.1777827,-0.5113431
506077,0.191522,-0.4224555
506085,0.49215773,-0.06900433
506087,0.38220167,-0.15738386
506090,0.14665498,-0.1465465
506091,0.16242859,-0.14732762
604992,0.13099813,-0.50859857
605000,0.22099276,-0.08333355
605003,0.14665498,-0.1465465
605005,0.1303089,-0.20310308
605006,0.13030879,-0.20310313
605007,0.15278254,-0.17562406
605009,0.1527826,-0.17562386
605012,0.16242859,-0.14732762
605025,0.68606514,-0.08353568
605059,0.6583875,-0.1038911
605060,0.50055146,0.014029366
605061,0.57717395,-0.043443713
605064,0.66520274,-0.11598488
605066,0.66798055,-0.11301791
605074,0.6622457,-0.11914334
605078,0.5030135,-0.19879226
605093,-0.029174132,-0.24354099
605095,-0.34708682,-0.34046882
605098,-0.2931655,-0.20440611
605110,-0.108743615,-0.21421966
605112,-0.086799145,-0.066853486
605113,-0.2528618,-0.21487714
9832562,0.61065394,-0.32172886
9832563,0.58363473,-0.30316702
9832572,0.21243133,-0.3633728
9832573,0.42943826,-0.090566866
9832589,-0.15988494,0.2497685
9832596,0.093433164,-0.350415
9832597,0.09984137,-0.43231764
9832598,0.24965906,-0.37530413
9832602,0.0848026,-0.39700913
9832603,-0.052092377,-0.6307004
9832607,0.19919972,-0.2898422
9832609,0.04438325,-0.40649
9832614,0.21073912,-0.27695566
9832615,0.19017944,-0.26402628
9832616,0.25481066,-0.2995584
9832619,0.30482563,-0.30061942
9832624,0.3706241,-0.22228311
9832629,0.359109,-0.18047264
9832634,0.20942168,-0.22418901
9832635,0.23600262,-0.21513687
9832637,0.2701475,-0.24408178
9832639,0.284123,-0.21043943
9832643,0.20209613,-0.24356765
9832645,0.12436435,-0.3804583
9832649,0.034447655,-0.36972925
9832655,0.08237897,-0.34328747
9883491,0.008078283,-0.6072749
9883492,-0.04882378,-0.44424048
9883496,0.047059603,-0.3140674
9883498,0.12836364,-0.2726172
9899501,-0.046504077,-0.48416945
9899517,0.0958987,-0.42848313
9899519,0.0832337,-0.45166102
9899524,0.306929,-0.25481534
9899525,0.38861957,-0.3332462
9899527,-0.035688516,-0.2914271
9899529,-0.10411735,-0.5679401
9920433,0.43493235,-0.29582587
9920435,0.37779972,-0.35760334
9920438,0.413237,-0.31389
9920440,0.37778,-0.36340007
9920441,0.4408795,-0.28068596
9920444,0.28990284,-0.47249553
9920445,0.38717735,-0.37481365
9920446,0.4379543,-0.29853174
9920447,0.4642543,-0.25822374
9920452,-0.0009915188,-0.5504851
9920457,0.00070103153,-0.30714673
9920473,-0.42561272,-0.8223024
9920478,0.14205545,-0.38253304
9920479,0.3062669,-0.19253671
9920486,0.5239196,-0.2804441
9920510,0.22271398,-0.48380497
9922686,0.25481072,-0.29955846
9922687,0.24931097,-0.27220505
9922689,0.32095972,-0.30040947
9922690,0.30715513,-0.34017435
9922696,-0.01533068,-0.34055054
9922698,0.025230376,-0.38532272
9922700,-0.008457968,-0.41145873
9922701,0.028446691,-0.3011721
9922703,-0.106635824,-0.38579017
9922705,-0.14629781,-0.45573416
9922712,-0.35281706,-0.5011922
9922716,-0.462975,-0.44251895
9922717,-0.4244622,-0.6128891
9922718,-0.41841644,-0.5453283
9922722,0.15675245,-0.14510784
9922725,0.41386917,-0.22737929
9922726,0.32742313,-0.27160215
9922730,0.17502753,-0.24290627
9922734,0.11193033,-0.3601235
9922740,-0.3342012,-0.41449565
9922746,-0.38351685,-0.29259697
9922755,-0.018865045,-0.045566432
9922756,0.063526765,-0.14366679
9922757,0.01673766,-0.03150557
9922763,0.32742304,-0.27160215
9922780,0.069372855,-0.29472145
9922789,0.17396748,-0.15705007
9922797,-0.012205809,-0.24510469
9922798,0.05347164,-0.24279548
9922803,0.2139623,-0.24633408
9922807,0.03874408,-0.22167988
9923542,0.1582217,-0.28448755
9923544,-0.5193799,-0.74219567
9923546,-0.63598955,-0.7300347
9923547,-0.27538216,-0.655443
9923551,-0.23638803,-0.3951757
9923553,0.12939252,-0.15207647
9923559,0.117598124,-0.37394902
9923563,0.04504704,-0.3785431
9923566,0.02105492,-0.47379312
9923572,0.15128829,-0.14830883
9923573,0.18307899,-0.11578485
9923575,0.134693,-0.110536106
9923576,0.2152887,-0.1130131
9923577,0.12520418,-0.17224742
9923579,0.14883925,-0.114473075
9923580,0.07777598,-0.13172625
9924098,0.20150743,-0.46356198
9924105,0.48733738,-0.13707376
9924106,0.36954722,-0.2891692
9924108,0.37652716,-0.28413868
9924114,0.2468151,-0.050095268
9924115,0.206926,-0.052342627
9924120,0.5513971,-0.15985599
9924121,0.5212596,-0.14011168
9924127,0.1878656,-0.3318241
9924128,0.15629958,-0.43977788
9924137,0.5533686,-0.12590167
9924138,0.49629387,-0.056924324
9992788,0.46764517,-0.23216876
9999162,0.20964885,-0.21324223
9999170,-0.015611945,-0.39116785
9999171,0.029602744,-0.34366795
9999173,0.11950557,-0.28119457
9999179,0.199944,-0.2790901
9999181,0.19346774,-0.26144713
10023637,-0.13239743,-0.4548988
10023639,-0.14529203,-0.48301613
10033761,0.047139104,-0.18862386
10033770,0.13998866,-0.47950453
10033771,0.11397886,-0.5296078
10033774,0.14735042,-0.45472583
10033780,0.058825005,-0.2874204
10033783,0.037712976,-0.23492907
10033800,-0.06765388,-0.31555918
10033803,0.04385341,-0.2860588
10033804,-0.08432374,-0.36040452
10033811,-0.14086272,-0.09887826
10033819,0.25763303,0.1148765
10033821,0.18597673,0.22033846
10033823,0.25220203,0.1095593
10033824,0.1695592,0.22739223
10033825,0.04476123,-0.11002422
10033828,0.0913203,-0.02561386
10033829,0.16226996,0.049688976
10036680,0.53653973,-0.3242023
10036681,0.53653973,-0.3242023
10036684,0.58363473,-0.30316702
10036685,0.58363473,-0.30316702
10036686,0.5365398,-0.32420224
10301545,0.2468326,-0.19897902
10301546,0.26984963,-0.20347343
10301547,0.24581638,-0.2006685
10301550,0.24252711,-0.22477536
10301551,0.26113102,-0.24145463
10301552,0.23853748,-0.21467945
10301563,-0.0009915753,-0.5504851
10301564,-0.0009915753,-0.5504851
10301572,0.24802306,-0.35774004
10301588,0.37891126,-0.116325125
10372881,-0.09311178,0.26979396
10372887,-0.020216396,0.15553196
10372890,0.1963701,0.0026890915
10372891,0.2942766,-0.03895341
10389694,0.08596783,-0.3796144
10389699,0.019025637,-0.42581642
10389704,0.04126809,-0.4145147
10389705,-0.13304234,-0.3584196
10389712,-0.31742,-0.424528
10390268,0.01639321,-0.38598698
10390270,0.05606007,-0.36560673
10390274,0.17179996,-0.35055453
10390275,0.18451892,-0.34332666
10390276,0.21976781,-0.33427736
10390277,0.0062127695,-0.54849994
10390279,0.11185534,-0.37397254
10392210,0.43521318,-0.18462163
10392211,0.55384284,-0.1261577
10531153,0.16900383,-0.28316048
10531422,0.42546108,-0.20989473
10531425,0.23801142,-0.20394666
10531432,-0.01586828,-0.33604154
10531439,-0.10152401,-0.2965204
10537221,-0.30019274,-0.4417623
10537223,-0.3313689,-0.3413737
10537224,-0.2960262,-0.36344764
10537225,-0.27571753,-0.33134428
10537226,-0.17419346,-0.42473328
10537227,-0.12734373,-0.3486402
10537228,-0.18242648,-0.41596937
10537229,-0.3029136,-0.34377012
10537231,-0.12437773,-0.5464804
10537232,-0.05112193,-0.37178773
10537237,-0.052346546,-0.45760572
10537243,-0.2705259,-0.6386288
10537245,-0.33870444,-0.550976
10537249,-0.2579788,-0.39599392
10537251,-0.5001449,-0.4437175
10537254,-0.27926204,-0.3308045
10537255,-0.20460156,-0.35215157
10537263,-0.24405602,-0.19582982
10537264,-0.22520052,-0.17281578
10537265,-0.2990415,-0.21333297
10537266,-0.15218005,-0.058949985
10537267,-0.15571412,0.0054716393
10537271,-0.20090236,-0.10528553
10537273,-0.1466766,-0.117106505
10537275,-0.41557986,-0.42536536
10537287,0.4833438,-0.018154593
10537298,-0.019000905,-0.31454355
10537421,0.21810557,-0.057892203
10537430,0.27486035,-0.1815949
10537434,0.40627348,0.08927854
10537435,0.40177864,0.090654984
10537437,0.35787722,-0.08694515
10537438,0.44179425,-0.08783128
10537439,0.38042846,-0.067840315
10537674,0.08446732,-0.60797864
10864786,0.34001392,-0.06701088
10866136,0.4127312,0.015279474
10866314,0.30154938,-0.328928
10867986,-0.36629558,-0.49485534
10867987,-0.24234349,-0.43740484
10867988,-0.0037383642,-0.4334667
10867992,0.04379614,-0.38620943
10868094,0.020218195,-0.3408615
10868096,0.045606308,-0.32311392
10868098,0.04961361,-0.3263282
10868100,0.03239132,-0.34560305
10868806,0.00559732,-0.48762146
10868812,-0.22819652,-0.3944278
10870308,0.035026666,-0.255835
10870309,-0.107131734,-0.48261008
10870314,-0.37695518,-0.23079419
10870319,-0.22296032,-0.67981267
10870321,-0.047891214,-0.41096884
10870327,-0.1584147,-0.21316701
10870335,-0.27779558,-0.07568991
10871663,0.03190361,-0.5258787
10927435,0.3194609,-0.070778094
12444555,0.25442007,-0.22683856
12444559,0.26092783,-0.4600067
13888906,-0.68360174,-0.85199356
13888909,-0.18547496,-0.5599603
13888918,-0.055858687,-0.4238245
13888923,0.10317847,-0.22111723
13888925,0.049583144,-0.20418765
13888928,0.09506189,-0.30455756
13888930,0.19518358,-0.2842682
13888938,0.14963004,-0.14270021
13888939,0.1485452,-0.17205276
13888948,-0.00018155269,-0.25107417
13888949,0.0031432398,-0.16812119
13889061,0.20601211,-0.24097998
13889063,0.26670903,-0.21920937
13889067,-0.033320814,-0.4465357
13894882,0.23433042,-0.27981392
13895085,-0.14014779,-0.22555278
13895086,-0.17642504,-0.38844368
13896009,-0.18146436,-0.5169274
13896011,-0.07614911,-0.31465104
13896012,-0.108480066,-0.2559762
13896018,-0.16238788,-0.38317576
13896673,-0.046024162,-0.31963992
13896675,0.029874915,-0.33718178
13896681,0.01955606,-0.23616548
13896682,-0.18632427,-0.47712293
14194124,0.27684167,-0.014757265
14194126,0.2691203,-0.046117783
14194128,-0.1899501,-0.64822274
14194152,-0.06784232,-0.54410875
14194172,-0.100000426,-0.52106255
14194206,0.26442295,-0.2842658
14194211,-0.14630118,-0.7017796
14194212,-0.34911162,-0.8342637
14194213,-0.17592189,-0.68448526
14194218,0.047163468,-0.45951968
14194225,0.34658358,-0.40655756
14194226,0.44087926,-0.28068605
14194227,0.24962159,-0.35553482
14324398,-0.15880162,-0.16093254
14324399,-0.45454496,-0.3510784
14324409,-0.18791492,-0.04435971
14324412,-0.33577344,-0.38946995
14324420,-0.19969845,-0.3747635
14324424,-0.2404145,0.034496576
14414808,-0.00657078,-0.3948755
14414823,-0.13801593,-0.6508298
14414827,-0.047751345,-0.42772254
14428177,-0.30726856,-0.5463815
14428178,-0.3072685,-0.5463815
14428179,-0.38413462,-0.5984404
14428180,-0.011203977,-0.6366199
14428181,-0.08271905,-0.5537805
